index,nlipktrlsm,tahuntrlsm,kdjektrlsm,jalur,llsketrlsm,toefltrlsm,kursitrlsm,jcutitrlsm,stwsdtrlsm,nmpstmspst,preditrlsm,tepat_waktu
1867,3.0,2012.0,2,0,4356.0,433.0,77.0,0.0,0.0,6,2,True
1391,2.0,2012.0,1,4,6579.0,460.0,152.125,0.0,0.0,1,4,True
547,2.0,2013.0,2,3,7220.0,400.0,77.0,0.0,0.0,2,4,True
3029,1.0,2009.0,1,0,6355.0,400.0,92.0,0.0,0.0,1,4,False
447,3.0,2013.0,2,2,7120.0,433.0,77.0,0.0,0.0,3,2,True
3145,1.0,2010.0,2,3,5910.0,403.0,137.0,0.0,0.0,2,4,False
1942,2.0,2012.0,1,0,4806.0,480.0,77.0,0.0,0.0,3,4,False
214,2.0,2012.0,1,0,4591.0,420.0,77.0,0.0,0.0,3,4,False
2166,3.0,2011.0,2,2,5771.0,400.0,38.0,0.0,0.0,3,2,True
525,2.0,2013.0,2,3,7198.0,433.0,77.0,0.0,0.0,2,4,True
3452,2.0,2010.0,2,2,5400.0,400.0,88.0,0.0,0.0,3,4,True
3137,1.0,2008.0,2,0,5911.0,400.0,140.0,0.0,0.0,2,4,False
1001,2.0,2010.0,2,1,6914.0,410.0,120.0,0.0,0.0,5,4,False
3786,3.0,2013.0,2,1,7505.0,453.0,23.0,0.0,0.0,5,2,True
577,3.0,2013.0,2,4,7250.0,457.0,77.0,0.0,0.0,1,2,True
802,1.0,2010.0,1,1,6978.0,400.0,79.0,0.0,0.0,6,4,False
1963,2.0,2012.0,1,0,4829.0,400.0,77.0,0.0,0.0,2,4,True
3444,2.0,2010.0,1,2,5388.0,437.0,79.0,0.0,0.0,3,4,True
950,2.0,2012.0,1,2,6863.0,400.0,77.0,0.0,0.0,3,4,False
2396,3.0,2008.0,2,0,4930.0,420.0,77.0,0.0,0.0,3,2,False
1548,3.0,2009.0,2,0,5086.0,420.0,77.0,0.0,0.0,5,2,False
165,3.0,2011.0,1,1,5716.0,400.0,29.0,0.0,0.0,4,2,True
3857,1.0,2012.0,2,3,8428.0,413.0,135.0,0.0,0.0,2,4,False
484,3.0,2013.0,2,2,7157.0,400.0,77.0,0.0,0.0,3,2,True
1155,2.0,2014.0,2,4,8029.0,413.0,152.125,0.0,0.0,1,4,True
3587,2.0,2012.0,1,0,4693.0,400.0,77.0,0.0,0.0,6,4,False
1682,2.0,2014.0,2,1,7857.0,463.0,148.0,0.0,0.0,4,4,True
3580,3.0,2009.0,2,0,5534.0,335.5,39.0,0.0,0.0,5,2,False
2019,2.0,2012.0,2,0,4885.0,460.0,77.0,0.0,0.0,5,4,False
2882,2.0,2013.0,2,3,7616.0,427.0,110.0,0.0,0.0,2,4,False
2480,2.0,2010.0,2,1,5557.0,420.0,18.0,0.0,0.0,6,4,False
3934,3.0,2015.0,2,1,8507.0,463.0,56.0,0.0,0.0,4,2,True
3347,2.0,2014.0,1,3,8208.0,427.0,77.0,0.0,0.0,2,4,False
923,2.0,2013.0,2,1,6836.0,443.0,57.0,0.0,0.0,6,4,True
3726,2.0,2013.0,2,2,7446.0,427.0,69.0,0.0,0.0,3,4,False
3763,2.0,2013.0,2,4,7483.0,400.0,101.0,0.0,0.0,1,4,False
